correct,misspelled
documented,doccumented
documents,doccuments
does,doens
doesn't,doesnt
doing,doign donig
dominant,dominent dominiant
doubt,doub
dram,deram
dramatic,dramtic
dream,deram
dreams,dreasm
dressing,adressing
drink,drnik
drumming,druming
dukedom,dukeship
during,buring durring
dyeing,dieing
dying,dieing
earned,earnt
eclectic,electic
eclipse,eclispe
efficient,effecient efficent
efficiently,effeciently efficently
effluence,effulence
effort,affort efford
efforts,effords
eighth,eigth
election,electon
electric,electic
electrical,electrial
electrically,electricly
electricity,electricty
electron,electon
elementary,elimentary
elephant,elphant
elicited,elicided
eligible,eligable
eliminated,eleminated
eliminating,eleminating
else,esle
emanate,eminate
embarrass,embarass embarras
embarrassed,embarassed embarrased
embarrassing,embarassing embarrasing
embarrassment,embarassment embarrasment
embezzled,embezelled
emigrant,imigrant
emigrated,emmigrated imigrated
emigration,imigration
eminent,emminent imanent iminent
eminently,emminently
emissaries,emmisaries emmisarries
emissary,emmisarry emmisary
emission,emision emition emmision
emitted,emited emmited emmitted
emitting,emiting emmiting emmitting
emotion,emition
emphysema,emphysyma
empirical,emperical empirial
enamored,enamoured
enamoured,enamored
encryption,encryptiion
engineer,engeneer engieneer
engineering,engeneering
engineers,engieneers
enlargement,enlargment
enlargements,enlargments
enmity,emnity
enormous,enourmous
enormously,enourmously
entertaining,intertaining
entrepreneur,entrepeneur
entrepreneurs,entrepeneurs
enumerable,inumerable
environment,enviorment enviornment enviroment
environmental,enviormental enviornmental enviromental
environmentalist,enviornmentalist enviromentalist
environmentally,enviormentally enviornmentally enviromentally
environments,enviorments enviornments enviroments
equatorial,equitorial
equilibrium,equilibium equilibrum
equipment,equippment
equipped,equiped
erected,erested
erratic,eratic
erratically,eraticly
essence,essense
essential,esential essencial essentual essesital
ethos,ethose
every,eveyr
evidently,evidentally
evil,efel
exacerbate,exerbate
exacerbated,exerbated
exaggerate,exagerate exagerrate
exaggerated,exagerated exagerrated
exaggerates,exagerates exagerrates
exaggerating,exagerating exagerrating
exalted,exhalted
example,exemple exmaple
exceeded,excedded
excel,excell
excellent,exelent
excels,excells
excerpt,exerpt
excerpts,exerpts
execute,excecute
executed,excecuted
executes,excecutes
executing,excecuting
execution,excecution
exempt,exampt
exerted,extered
exhibition,exibition
exhibitions,exibitions
existence,existance
existent,existant
exoskeleton,exoskelaton
expects,spects
expel,expell
expels,expells
explain,expalin
exploitative,exploititive
extant,extint
external,exerternal
extinct,extint
extraordinarily,extrordinarily
extraordinary,extrordinary
extraterrestrial,extraterrestial
extravagant,extravagent
eyas,eyars
facilitate,faciliate
facilitated,faciliated
famous,famoust
fanaticism,fanatism
fascinated,facinated
feasible,feasable
feel,fiel
feels,fiels
fictitious,ficticious fictious
field,fiel
fields,fiels
filament,filiament
file,fiel
files,fiels
finally,fianlly finaly
financially,financialy
find,fidn
first,firts
fled,fleed
flirts,firts
flourish,fluorish
fluorescent,florescent
forbade,forbad
forehead,forhead
foreign,foriegn
foremost,formost
forerunner,forunner
forfeit,forfiet
form,fomr
formalize,formallize
formalized,formallized
forty,fourty
fought,faught fougth
found,foudn
foundries,foundaries
foundry,foundary
freed,fleed
friend,freind
friends,firends
from,fomr
fundamental,fundametal
fundamentals,fundametals
fungi,funguses
further,furuther
gale,gae
game,gae
gases,gasses
genealogies,geneologies
genealogy,geneology
generally,generaly
genitalia,genialia
goddess,godess
goddesses,godesses
going,gogin goign gonig oging
gourd,gaurd
government,goverment govorment
governmental,govermental govormental
governor,gouvener governer
graffiti,grafitti
grammar,grammer
grammatically,gramatically grammaticaly
grateful,greatful
gratefully,greatfully
gratuitous,gratuitious
great,gerat graet grat
grief,greif
grow,grwo
guanine,gunanine
guarantee,guarentee
guaranteed,garanteed guarenteed guranteed
guarantees,guarentees
guard,gaurd
guerilla,guerrila
guerillas,guerrilas
guerrilla,guerrila
guerrillas,guerrilas
guidance,guidence
guttural,guttaral gutteral
habeas,habaeus habeus
happen,ahppen hapen
happened,hapened happended
happening,hapening
harass,harras harrassing
harassed,harased harrased
harasses,harases harrases
harassing,harrasing
harassment,harasment harrasment
hare,hace
have,ahev ahve haev hvae hvea
having,hvaing
heave,haev hvea
heritage,inheritage
heroes,heros
heterogeneous,heterogenous
holy,wholy
hydrophilic,hydropilic
hydrophobic,hydropobic
hygiene,hygeine
hypocrisy,hypocracy hypocrasy hypocricy
hypocrite,hypocrit
hypocrites,hypocrits
iconoclastic,iconclastic
idea,diea idae
ideas,idaes idesa
identical,identicial
ideologies,idealogies
ideology,idealogy
ides,idesa
idiosyncratic,ideosyncratic
illegitimacy,illegimacy
illegitimate,illegitmate
illogical,ilogical
illusion,alusion illution
imagery,imaginery
imaginary,imagenary imaginery
imagine,imagin
imbalance,inbalance
imitate,immitate
imitated,immitated
imitating,immitating
imitator,immitator
immanent,iminent
immediately,emmediately imediately immediatley immidately immidiately
immense,imense
immigrant,imigrant inmigrant
immigrants,inmigrants
immigrated,imigrated
immigration,imigration
imminent,emminent imanent iminent
impeach,inpeach
impedance,impedence
imperial,empirial
impolite,inpolite
imprisonment,inprisonment
improvisation,improvision
inaccessible,inaccessable
inappropriate,inappropiate
incompatibility,incompatiblity
incompetence,incompetance
incompetent,incompetant
incorporation,incorperation
incorruptible,incorruptable
incredible,increadible incredable
incunabula,incunabla
indefinitely,indefinately indefinitly
independence,independance independece
independent,independant indipendent indpendent
independently,indepedantly independantly indipendently indpendently
indict,indite
indispensable,indispensible
indisputable,indisputible
indisputably,indisputibly
indulge,indulgue
industrial,indutrial
inevitable,inevatible inevitible
infectious,infectuous
infiltrate,infilitrate
infiltrated,infilitrated
infinite,infinit
inflammation,inflamation
influenced,influented
influential,influencial
information,infomation
ingredients,ingreediants
inhabitant,habitant
inhabitants,habitants
inheritance,inheritage
initiation,initation
innocence,inocence
innumerable,inumerable
insidious,ecidious
insistence,insistance
instance,instatance
instead,instade
institution,insitution
institutions,insitutions
integrated,intergrated
integration,intergration
intellectual,intelectual
intelligence,inteligence
intelligent,inteligent
interbred,interbread
interbreed,interbread
interchangeably,interchangably
interest,intrest
international,internation
interpret,interpet
interregnum,interrugum
interrelated,interelated
interrupt,interupt
into,inot
introduce,inctroduce
introduced,inctroduced
intuitive,intutive
intuitively,intutively
inventor,inventer
invertebrates,invertibrates
involvement,involvment
ironically,ironicly
irrelevant,irelevent
irresistible,iresistable iresistible irresistable
irresistibly,iresistably iresistibly irresistably
irritable,iritable
irritated,iritated
isn't,isnt
jeopardy,jeapardy
journeys,journies
judicial,judical
judiciary,judisuary
just,jstu jsut
keratin,ceratin
kindergarten,kindergarden
know,knwo konw kwno nkow nkwo
knowledge,knowlege
knowledgeable,knowledgable knowlegeable
knows,knwos konws
laboratory,labratory
laid,layed
language,laguage
languages,laguages
larvae,lavae
last,lsat
lavatory,labatory
leaf,lief
lean,leanr
leaner,leanr
learn,leanr leran
learns,lerans
led,leaded
legitimate,legitamate
leisure,liesure
length,lenght
level,levle
levitate,levetate
levitated,levetated
levitates,levetates
levitating,levetating
liable,lible
liaison,liason
libel,libell lible
library,libary
licence,lisence lisense
license,lisence lisense
licensed,licenced
licensing,licencing
lieutenant,leutenant
life,lief
like,liek liuke
liked,liekd
likelihood,likelyhood
linguistic,libguistic
linguistics,libguistics
liquefy,liquify
literature,litature literture
little,littel
lively,livley
loneliness,lonelyness
lonely,lonley lonly
losing,loosing
lot,alot
love,loev lveo lvoe
lying,lieing
made,maked
magnolia,magolia
maintenance,maintainance maintainence maintance maintenence
majority,marjority
make,amke mkae mkea
makes,makse mkaes
making,amking mkaing
mammal,mamal
mammalian,mamalian
management,managment
maneuver,manouver manuever
maneuverability,manoeuverability manouverability
maneuverable,manouverable
maneuvers,manouvers manuevers
manoeuvrability,manoeuverability manouverability
manoeuvrable,manouverable
manoeuvre,manouver manuever
manoeuvres,manouvers manuevers
manufacture,manufature
manufactured,manufatured
manufacturing,manufaturing
mare,mear
marked,maked
marketing,marketting
marriage,marrage marraige
married,marryied
mathematician,mathmatician
mathematicians,matheticians mathmaticians
mathematics,mathamatics
mediaeval,medeival
medicine,medacine
medieval,medeival
member,memeber
mentioned,maintioned
mere,mear
messenger,messanger
metallic,metalic
metallurgic,metalurgic
metallurgical,metalurgical
metallurgy,metalurgy
metamorphosis,metamorphysis
midwives,midwifes
milieu,mileau mileu
military,millitary
millennium,milennium millenium
millipede,millepede
miniature,minature
ministry,ministery
minuscule,miniscule
miscellaneous,miscelaneous miscellanious miscellanous
mischievous,mischeivous mischevious mischievious
misdemeanor,misdameanor misdemenor
misdemeanors,misdameanors misdemenors
misdemeanour,misdameanor misdemenor
misdemeanours,misdameanors misdemenors
misogynist,mysogynist
misogyny,mysogyny
missel,missle
missile,misile missle
misspelling,mispelling
mizzen,missen
model,modle
moment,moent
monasteries,monestaries
monastery,monestary
monetary,monestary
money,moeny
monolithic,monolite
more,mroe omre
mortgage,morgage
motivated,motiviated
movie,movei
mucous,mucuous
municipalities,muncipalities
municipality,muncipality
murder,muder
murdering,mudering
muscles,muscels
mussels,muscels
myriad,myraid
myself,mysef
mysterious,misterious misteryous mysterous
mystery,mistery
natural,naturual
naturally,naturaly naturely naturually
necessarily,neccesarily neccessarily necesarily nessasarily
necessary,neccesary neccessary necesary
need,ened
negligible,neglible negligable
negotiate,negociate
negotiation,negociation negotation
neighbor,neigbour
neighboring,neigbouring
neighbors,neigbours
neighbour,neigbour
neighbouring,neigbouring
neighbours,neigbours
next,enxt
nice,neice
nickel,nickle
niece,neice
nineteenth,ninteenth
ninety,ninty
ninth,nineth
north,noth
northeastern,northereastern
northern,northen nothern
not,nto onot
notable,noteable
notably,noteably
note,onot
noticeable,noticable noticible
noticing,noticeing
notoriety,noteriety
nouveau,noveau
nuclear,nucular nuculear
nuisance,nuisanse nusance
nutrient,nutritent
nutrients,nutritents
obedience,obediance
obedient,obediant
obstacle,obstacal
occasion,ocasion ocassion occassion
occasional,ocasional ocassional occassional
occasionally,ocasionally ocasionaly ocassionally occassionally occassionaly
occasioned,ocasioned ocassioned occassioned
occasions,ocasions ocassions occassions
occur,occurr ocurr
occurred,occured ocurred
occurrence,occurance occurence occurrance ocurrance ocurrence
occurrences,occurances occurences occurrances
occurring,occuring
octahedral,octohedral
octahedron,octohedron
official,offical
officially,offically officaly officialy
ogling,oging
omission,omision ommision
omitted,omited ommited ommitted
omitting,omiting ommiting ommitting
omnivorous,omniverous
omnivorously,omniverously
one,noone
only,lonly onyl
ophthalmic,opthalmic
ophthalmologist,opthalmologist opthamologist
ophthalmology,opthalmology
opinion,oppinion
opponent,oponent
opportunity,oportunity
opposite,oposite
opposition,oposition
oppression,opression
oppressive,opressive
optimism,optomism
orally,erally
organ,orgin
organism,organim
origin,orgin
original,orginal origional
originally,originaly originnally orignally
other,otehr
overshadowed,overshaddowed
overwhelming,overwelming
oxygen,oxigen
oxymoron,oximoron
paid,paide payed
palace,palce
pamphlet,pamplet
pantomime,pantomine
parakeets,parrakeets
parallel,paralel paralell parralel parrallel parrallell
paraphernalia,paraphenalia
parenthesis,paranthesis
parliamentarian,paliamentarian
particular,parituclar
particularly,particularily
passed,pased
pastime,pasttime
pastoral,pastural
patented,pattented
peculiar,peculure
pejorative,perjorative
penalty,penatly
peninsula,penninsula penninsular pennisula
peninsular,penninsular
people,peopel
perceived,percepted percieved
performance,performence
performed,performes
performs,performes
perhaps,perhasp perheaps perhpas perphas
peripatetic,peripathetic
perjury,perjery
permanent,permenant
permissible,permissable
permission,premission
perpendicular,perpindicular
persistence,persistance
persistent,persistant
personal,personel
personnel,personel personell personnell
persuade,pursuade
persuaded,pursuaded
persuades,pursuades
persuading,pususading
perturbation,pertubation
perturbations,pertubations
petition,petetion
phenomena,phenonmena
phenomenal,phenomenonal phenomenonly
phenomenally,phenomenonly
phenomenon,phenomonenon
pheromone,feromone
phial,fiel
phials,fiels
philosopher,philisopher
philosophical,philisophical
philosophy,philisophy
phonetic,fonetic
phonograph,phongraph
piece,peice
pilgrimage,pilgrimmage
pilgrimages,pilgrimmages
pineapple,pinapple pinnaple
pitch,pich
place,palce
plaintiff,plantiff
planned,planed
playwright,playwrite
playwrights,playwrites
pleasant,plesant
poem,peom
poems,peoms
poetry,peotry
pogrom,progrom
pogroms,progroms
poison,poisin
pollinator,polinator
pollute,polute
polluted,poluted
pollutes,polutes
polluting,poluting
pollution,polution
pomegranate,pomegranite
popularity,popularaty
portrayed,protrayed
position,positon possition postion
positron,positon
possess,posess
possessed,posessed
possesses,posesses posseses
possessing,posessing possesing
possession,posession possesion
possibility,possibilty
possible,possable
possibly,possably
power,pwoer
powerful,powerfull
practical,practial
practically,practially practicaly practicly
practitioner,practicioner
practitioners,practicioners
prairie,prairy
preamble,preample
precede,preceed
preceded,preceeded
precedes,preceeds
preceding,preceeding
precursor,precurser
predecessor,precedessor
predominately,prominately
preferably,preferrably
preferred,prefered
preferring,prefering
pregnancies,pregancies
premiere,premeire
premiered,premeired
preparation,prepartion
prepare,prepair
prerogative,perogative
presence,presense
presidential,presidental
prestigious,prestigeous prestigous
presumably,presumibly
prevalent,prevelant
previous,previvous
primitive,primative
primitively,primatively
primitives,primatives
primordial,primordal
principal,pricipal
principle,priciple
privilege,privelege privelige privilage priviledge privledge
privileged,priveleged priveliged
privileges,priveledges priveleges priveliges priviledges
probability,probalibity
probably,probablly probaly
problem,probelm
procedure,procedger proceedure
proceed,procede
proceeded,proceded
proceeding,proceding
proceedings,procedings
process,proccess
processing,proccessing
proclaimed,proclamed
proclaiming,proclaming
proclamation,proclomation
profession,profesion proffesion
professor,profesor proffesor
profusion,profesion
program,progrom
programmable,programable
programs,progroms
prohibition,prohabition
prolegomena,prologomena
prolific,profilic
prominence,prominance
prominent,prominant
prominently,prominantly prominately
promiscuous,promiscous
pronominal,pronomial
pronunciation,pronounciation
propaganda,propoganda
propagate,propogate
propagates,propogates
propeller,propellor
propellers,propellors
proper,propper
prophecy,prophacy
proportions,propotions
proprietary,propietary proprietory
proselytizing,proseletyzing
protagonist,protaganist
protagonists,protaganists
protein,protem
protuberance,protruberance
provided,provded
pseudonym,pseudonyn
pseudonymous,pseudononymous
psychic,psyhic pyscic
psychology,psycology
publicly,publically
pumpkin,pumkin
purpose,perphas
purposely,purposedly
pursue,persue
pursuing,persuing
pursuit,persuit
putting,puting
quantity,quantaty quantitiy
quarantine,quarantaine
quickly,quicklyu
quiet,qtuie qutie
quite,qtuie qutie
quizzes,quizes
rabbinical,rabinnical
rarefied,rarified
ratify,radify
real,rela
realised,relized
realized,relized
really,erally raelly realy realyl relaly
recall,reacll
receded,receeded
receding,receeding
receipt,reciept
receive,recieve
received,recieved
receiver,reciever
receivers,recievers
receives,recieves
receiving,recieving
recipient,recepient recipiant
recipients,recepients recipiants
recognize,recogize
recommend,reccomend reccommend recomend
recommended,reccomended reccommended recomended
recommending,reccomending reccommending recomending
recommends,recomends
reconciliation,reconcilation
reconnaissance,reconaissance reconnaissence
record,recrod
recreational,recrational
recurring,reccuring
reevaluated,revaluated
reference,referrence refference
referral,referal
referred,refered reffered
referring,refering
refers,referrs
refrigerator,refridgerator
refusal,refusla
regardless,irregardless
regular,regluar
regularly,reguarly regularily
rehearsal,rehersal
relationship,relatiopnship
relatively,relativly
relevance,relevence
relevant,relevent
relieve,releive
relieved,releived
religious,religeous religous
remember,remeber
remembrance,rememberance remembrence
reminiscent,reminescent
remnant,reminent
renown,reknown
renowned,reknowned
repartition,repatition
repentance,repentence
repentant,repentent
repetition,repatition repetion
representative,representive
representatives,representives
required,recquired
resemblance,resemblence ressemblance ressemblence
resemble,ressemble
resembled,ressembled
resembling,ressembling
reside,recide
resided,recided
resident,recident
residents,recidents
residing,reciding
resistance,resistence
resistant,resistent
resistible,resistable
response,reponse responce
responsibility,responnsibilty
responsible,reponsible
restaurant,restaraunt resteraunt restraunt
restaurants,restaraunts resteraunts
restoration,restauration
restraint,restraunt
resurrecting,resurecting
resurrection,ressurection
retaliated,retalitated
retaliation,retalitation
reversible,reversable
revolutionary,revolutionar
rewrite,rewriet
rhyme,rhymme
rhythm,rhythem rhythim rythem rythim rythm
ridiculous,rediculous
rigor,rigeur
rigorous,rigourous
rigour,rigeur
ringing,rininging
rococo,rococco
room-mate,roomate
roommate,roomate
roughly,rougly
rule,rulle
sacrifice,sacrafice
safety,saftey
salary,salery
same,smae
sandwich,sandwhich
sassy,sasy
satellite,satelite sattelite
satellites,satelites sattelites
satyr,sotyr
says,sasy syas
scalable,scaleable
schedule,schedual
scholarly,scholarstic
scholastic,scholarstic
sclera,clera
script,scirpt scripot
scroll,scoll
secede,seceed
seceded,secceeded seceeded
secretary,secratary secretery
seize,sieze
seized,siezed
seizing,siezing
seizure,siezure
seizures,siezures
sense,sence
separate,seperate
separated,seperated
separately,seperately
