correct,wrong
address,addres
chapter,chapture
refreshment,refshment
accommodation,acommodation
therapists,threapists
visited,fisited
however,howeverr
comparison,comparrison
afterwards,after-wards
approval,aproveal
anxiety,anxieety
indian,indan
sprained,sprianed
curtains,curntians
appropriate,appropate
with,wihth
appeared,appeard
a_little,alittle
quizzes,quizes
immediate,imediate
individual,indivual
brake,brak
inside,in_side
industry,indistry
recognition,recongnition
harassed,harrased
organize,organise
function,fuction
week's,weks
specific,specifficy
enthusiasm,enthousizam
affectionately,afectionly
facilities,vacilities
miserable,misrable
February,Febuary
scarcely,scacly
facilities,facillitives
sufficient,sufficent
accrued,accured
touch,tuch
specimen,specimine
beautiful,beatful
friends,frens
train,trian
threat,thret
primary,primry
accommodate,accomode
trees,tres
prevalent,prevelant
standard,stanndard
amiable,aimable
instance,instatance
caretaker,cartaker
thorough,throurgh
instead,instade
susceptible,suseptible
agreed,aggreed
special,specill
finished,finshed
literally,litrally
allophone,allopone
beyond,beond
techniques,tecniques
continent,contetinement
sound,soudn
maypole,may_pole
approximately,appromixately
physician,physian
biscuits,bicuits
approach,aproach
financially,finnacily
functionally,functionaly
swimwear,swim_wear
remembrance,remmembrance
vacancies,vaccancies
deposit,deposite
secondary,secomdary
characters,charachters
corrosion,corosion
southern,southen
women,wonen
disparagingly,disparingly
virtues,virteous
heinous,hienous
irrelevant,irrelavent
refreshment,refrement
candle,candel
accustomed,acustomed
orange,ornge
baton,batton
spacecraft,space_cratf
opportunities,oportumities
seizure,siezure
bulletin,bouletin
rheumatism,rheumaticsm
bureaucracy,beaurocracy
cemetery,cemery
auditorium,autoruim
sound,sonud
milk,milke
curiosity,curiosoty
safely,safly
pamphlets,phamphlets
divide,divid
anxiety,axiety
accused,accussed
apparent,appreant
curiosity,coursity
recommending,reckomending
correspondence,corespondences
united,unighted
height,heighth
specialized,speciallized
moonlight,monlight
preferably,preferrably
grandmother,granmother
tragedy,tragedty
condemn,condem
fight,fiht
anticipate,anticpate
principle,priciple
analysis,anayalsis
permanently,perminantly
succeed,succede
removed,rmoved
constitution,constition
largely,largly
analysis,annalysis
infallible,infalib
commissions,commisions
completing,completting
acknowledgement,acknowledement
inconvenience,inconvienience
avoid,aviod
requesting,reqsting
weaponry,weaponary
establishments,estabishments
exhausted,exausted
expenditure,expidenture
forward,foward
loved,lovd
memorandum,menorandum
anniversary,anniverisy
annoyance,annonce
ukrainian,ukranian
dodged,dogerd
immediately,imeaditly
reaching,reching
viewed,viwed
which,whch
flying,flin
alone,alown
assassins,assasins
promotion,promition
enemies,enmenies
nice,neice
continent,continite
happen,hapen
beautiful,buetiful
aeroplane,eoroplane
conscientious,consientious
actually,actully
subscribers,suscribers
additionally,additinally
splendid,splendied
regained,regined
walking,wakeing
opinion,oppinon
wishes,wiss
seize,sieze
which,wgich
thorough,throught
heart-rending,heartrendering
harasses,harrases
referred,refeard
refreshment,eefrsment
several,seferal
magnificent,magnisfcent
subterranean,subterrainean
vacancies,vancies
output,ouput
repairs,reparse
satisfactorily,sactisfactory
family,famliy
materially,matterally
form-mistress,formmistress
spiritual,spirtural
apparently,appearently
tournament,tornment
generated,generataed
great,grete
satisfactory,satifactory
determined,dertmined
hopscotch,hop_scotch
gandhi,ghandi
procedure,proceedgure
collateral,colateal
poetry,poeter
middle,midle
against,aganst
agencies,agencsies
cemetery,cemetarey
mystery,mysetery
temporarily,temporialy
judgement,judement
instruments,instrumets
without,with-out
eventually,enivenutualy
smoking,smokeing
saddle,saddel
adjourned,adjournaled
section,secion
accompanying,accompying
anxious,ancious
conscientious,concentous
beginnings,begginings
lean,leanr
welsh,wesh
kindergarten,kinder_garten
knowledgeable,knowlegable
discipline,discpline
understood,undestood
currently,currenly
bungalow,bugalow
specializes,specialisises
ashes,ashers
subtracted,substracted
anxiety,aniexty
guardian,gardinan
avoid,avode
destination,destation
bulletin,bullten
philosophy,phiolosphy
successful,succful
satisfaction,satifaction
profession,profesion
easily,easly
splendid,splened
university,univesity
answer,anserw
carefully,carfully
wheelbarrow,wheel_barrow
minimum,minnimum
nearly,nerley
truth,tuthe
delivered,delerd
homely,homly
miscellaneous,misicelleous
anything,any-thing
eliminate,elliminate
scheduled,schuled
beautiful,beautifull
explaining,explaning
correspondence,corrspondence
mortal,mortle
minimum,minnimun
laboratory,labroratory
delegates,delegates'
minimum,minninum
enemy,eneny
violins,voilins
upset,up_set
performance,performanse
acquisition,aquisition
waited,wated
mustn't,mustunt
altimeter,altometer
beside,bese
guaranteed,garnateed
aware,awear
accommodated,accomodated
extraordinary,extordonary
round,roud
amiable,aimible
tentacle,tenacle
fruit,fruilt
definite,definte
partners,parteners
accommodate,accondate
think,thinck
provisions,provisons
politician,politicains
unemployed,unenployed
beautiful,beauiful
entrance,enternce
scarcely,scacely
preliminary,plimary
queue,queu
cancelling,cancleing
equally,eqully
especially,espescially
misdemeanour,misdemenor
midnight,midnigth
ascertain,acertained
athletics,athaletics
inconvenienced,inconvienced
innocent,incouncent
recommends,recomends
contented,contendid
commission,commision
precision,prisesion
suspicion,suspicsion
generosity,generousity
solemn,solman
consumer,comsumer
notably,noteably
bureaucracy,buracracy
enormous,enourmous
amiable,ammible
epistle,episle
conceive,concive
ecstasy,ecxtasy
conscientious,consientous
beginning,beginng
scrambled,scrambld
backyard,back_yard
problem,prroblem
minimum,minum
amiable,aimeible
pamphlets,paphlets
enlist,enlish
station,staion
spiritual,spritiual
affectionately,afectionaly
breathe,brethe
mutual,mutunal
temperature,temprature
brave,brav
eggs,egges
radius,radiuss
noted,notted
retired,returded
agencies,agencesy
breaking,bracking
embarrassed,enbarrased
kilometre,lilometer
unanimous,unnamious
interrupting,interupting
distribute,distribut
pedantic,pendantic
plastics,plastis
accident,acddent
congratulations,congratulions
auditorium,audiotorium
adoptive,addoptive
permanently,permannetly
delinquent,delient
promptly,promtly
unsurprising,unsuprising
especially,epecially
buried,buryied
especially,especailly
ordinarily,ordinaryily
extraordinary,extrodainary
cancelled,cancle
procedure,proceeduare
field,feld
sympathetic,symathetice
processing,proccessing
notebooks,note_books
something,somethig
orchestra,orcestra
conscious,conaious
introduced,inctroduced
opposite,oppsite
very,verey
symbol,synbol
lonesome,lonsome
undecidable,undecideable
latest,lates
thimble,thinble
really,relley
visited,vistited
enthusiastic,enthusicatic
wants,wnats
efficiency,efficiencely
procedure,procedurez
affect,affact
every,evey
rheumatism,rhematism
pogrom,progrom
tuesday,teusday
geometry,geomotery
about,a_bout
biscuits,buiscuit
receiving,reciving
severely,sevearly
surrounded,suronded
preceding,preceeding
constantly,constanly
doesn't,doesnt
fruit,fruite
negotiations,negiatations
definite,definit
specific,specif
riding,rideig
thoroughly,thourough
stomach,stoumac
answered,answerd
error,erro
appearing,appearin
contented,contene
effect,effet
critics,criticists
driven,diven
possess,prossess
guarantee,granentee
literally,literaly
conveniently,conveiently
prologue,proloug
occasional,ocassional
reservoir,resevoir
approximately,approxomatly
mortgage,morgage
appropriate,appropriae
murdered,murderd
disposition,dispostion
delivery,delievery
responsibilities,responsiblities
lodge,loged
anoints,annoints
unusually,unuaualy
phrase,frase
minimum,mimnimum
targeting,targetting
receipts,reciets
miscellaneous,miscleaneous
friends,freinds
rheumatism,rheumatisim
determined,determed
matchboxes,match_boxes
mathematics,matmatic
bandwidth,bandwith
ridiculous,ridiculosis
guaranteed,garranted
strenuous,strenus
headmaster,hed_master
courtesy,courtessy
prior,priore
beautiful,beauitful
contented,contned
permanently,permannently
miscellaneous,mscellaneous
extraordinarily,extrordinarily
problem,promble
religious,religous
recommendations,reccomendations
peninsula,penninsula
prepared,prepeard
owns,ownes
recently,reicely
khaki,kahki
snowball,snow_ball
knife,kife
eliminate,elminlate
especially,espeiciacally
courier,coururier
float,flote
dining,dionig
enthusiasm,enthuasum
convalescence,convalesnce
empty,emty
coarse,coase
enthusiastic,enthusastick
manipulation,maniputaltation
english,enlish
monitor,montor
breath,breth
inefficient,inefficite
teachers,tearchers
prologue,prolouge
knife,knif
courtesy,courtecies
often,offten
original,origional
balloon,bloon
equivalent,equivelant
difference,diffrence
repairs,repeares
behind,be_hin
appetite,appite
around,aroud
academic,accademic
prairies,praires
remember,remermber
conveniently,conveinently
recommending,recomending
thimble,thimbel
miscellaneous,micellaneous
hydraulic,hydralick
epistle,epstle
distinguished,distinguised
aunt,aunte
provided,provied
dormitory,dorimitory
thanksgiving,thankgiving
effectively,effectivly
affectionately,affectionely
comparatively,comparativeley
postpone,pospone
flagrancy,falgrncy
aspects,spects
bungalow,bungalowe
guaranteed,gaurnteed
friend,fraind
unwieldy,unwieldly
outside,out-side
economic,ecomic
didn't,dident
daredevil,dare_devil
accordingly,acordingly
sympathetic,symathetic
agencies,agencyies
initiation,iniatation
referring,refereing
receipt,receite
noticeable,notible
poems,poemes
competent,cometent
controversy,controveries
knife,kinfe
wield,weild
knowledge,knowlede
mischief,mischeif
restaurant,restranant
trotting,trorting
exaggerated,exagerrated
collateral,collatral
guerilla,guerrila
philosophy,philosiphy
poison,posion
christian,christain
relevant,relevent
enthusiasm,enthuisiasm
metal,metle
heard,hered
fiery,firery
headmaster's,head_masters
zealous,zelous
refrigerator,refigrator
recently,recensently
approximate,approxiamte
scheduled,schuedule
requesting,reqiesting
such,shuch
cataloguing,catalguing
affidavit,affidavite
irresistible,irrisestible
guarantee,guantee
mediterranean,mediteranean
trousers,trouse
extend,exstend
criticism,critisym
conveniently,convienately
dangerous,dageross
literally,litearly
restriction,restrici
memorandum,memorandim
worried,worred
enthusiastic,enthustic
adult,addult
zionist,sionist
rejoice,rejoce
decomposing,decompositing
grateful,greatfull
alive,aliv
become,beome
appropriation,apropriation
strand,strnad
juice,jucice
mortgage,mortagage
example,exmaple
have,havne
approximately,aprosimatly
surrounded,surrouned
inconvenienced,inconvience
resources,rescources
sweet,swet
vacancy,vancancy
because,beacuse
spirituous,spiritous
outside,out_side
alumni,alumin
problem,problm
specifically,pecificual
banquet,bankquet
threatened,thretened
calculate,caluculate
enthusiasm,enthoustim
peanut,penut
haven't,havein't
satisfies,satifies
guarantee,grantere
tragedy,tragerdy
railway,ralway
pilot's,pailots
hadn't,haden't
belief,belf
beneficial,benefically
recommended,reckcomended
expel,expell
accompanied,acompanied
privilege,privoledge
miscellaneous,miscelaous
clerk,cleark
removed,readmouved
galvanized,gavanised
chorus,korus
provide,provied
acceptable,aceptable
somebody,some_bodiy
calculated,calulated
repairs,reparis
annum,aninum
folly,folloy
facilities,faccilities
slippers,slipers
often,offen
eastern,eastren
shopping,shoping
specific,pecifick
people,pople
confirmation,comfirmation
spacecraft,space_crath
inconvenience,inconviences
publicly,publically
bleat,blait
stopping,stoping
decides,descides
continuous,coninuous
safely,savely
gorgeous,gourgous
fairy,fariy
disappointment,disappoinment
immediately,immedately
flight,firght
community,comunty
appreciation,apreciation
dangerous,dangerouse
exaggerate,exsagrate
paying,paing
disappointment,disapointment
reminiscing,reminising
initials,intials
recall,reacll
spade,spad
inconvenienced,inconveinces
great,geat
restaurants,resteraunts
children,clderen
killed,kild
reasonable,resonable
truculent,trucculent
originally,originial
recommended,recomnend
inconvenient,inconveinient
owner,oner
alpine,apne
recommendations,recomendation
comfortable,comable
principles,principl
apparently,apparentley
junior,junoir
distinguished,distinguishd
actually,actioally
exaggeration,exageration
geometry,geomometry
called,calld
consummate,consumate
guidance,guidence
coalesced,coalesed
fire,firve
southern,suthern
occurrence,occurence
suggest,sugest
stayed,staed
conceive,conceivce
surprised,surprized
filled,filld
criticism,critiscism
conceive,concevee
margin,margain
usually,ussually
perceive,perciveden
exists,exsitists
unusually,unuasuly
receipts,receits
drinking,driking
scheduled,scedueled
length,lenght
noticeable,nolticable
parade,prade
ruffle,ruffel
final,finle
enormously,enomosly
containing,contining
inconvenienced,inconvencienced
comparatively,compariatvely
turned,turrned
tedious,tediuos
dismantles,dismantals
piano,paino
penitentiary,penitentary
sponsored,sponzored
addressable,adressable
incremented,increented
supplied,suplied
daring,dearing
sincerely,sincerly
adjacent,ajacent
answer,anse
exhibition,exibitition
objects,objectsion
vacancies,vacancises
acquaintance,aquatance
assassinated,assasinated
entirely,entirly
downstream,donstream
orbiting,orbitting
playground,playgrond
prior,priror
drastically,drasticly
didn't,didnt
formalized,formallized
consensus,concensus
dining,dineing
before,be_fore
election,electon
philippines,philipines
company,compy
disappointed,dissappointed
misspelling,mispelling
seem,sheem
noticeable,noticeble
acquaintance,acquaintaince
scatter,scater
clear,claer
genius,guenious
necessarily,neccessarly
extended,extened
criticism,criticisium
specifically,speficically
contented,contempted
dining,doning
written,writen
horse,howrse
laboratory,lavoratory
epistle,epostle
elimination,elimiation
adjourned,adjorn
memories,memorries
completing,compleating
ninety,ninty
sunshine,sunshin
special,specal
bushel,bushle
conditions,contions
sorority,soririty
academically,academicly
poetry,peoetry
bicycle,biscycle
advertise,advertize
respected,respectered
great,geant
fountain,fountian
procedure,procedeuere
optimize,optimise
basement,basment
economical,ecomdomical
tournament,tourmment
understand,undestand
fixed,fixd
courtesies,courteys
measured,mesured
outside,outsid
exists,exiist
eliminate,elinate
potentially,potentialy
courteous,courtiese
analysis,analsys
elementary,elementrary
temperature,tempreture
really,raelly
cradle,craddle
strongly,stongly
apology,appologey
rehearsing,rehersing
shaggy,shagg
expenditure,expenitture
lecture,lectur
article,articel
visited,visitored
wretch,wrech
exaggerating,exagerrating
unanimous,unanimos
slimmest,slimest
anxious,anixous
temperature,tempetrue
ordinarily,ordinarly
completion,complsion
steer,ster
burglar,buglar
chautauqua,chataqua
peculiar,pecquilar
telltaling,tell_tailing
street,stret
comfortable,comefortable
compatibility,compatiblity
affidavit,affidated
member,memeber
emissaries,emmisarries
receipts,receipte
representatives,representies
entirely,entierly
women,wome
photo,foto
apology,apolgy
recognition,reconigition
superfluous,superfulous
phase,phraise
games,gams
magnificent,magnifcent
identical,identicial
criticism,criticum
embarrassed,embarassed
would,wouls
helicopter,helicoter
inconvenienced,inconvence
plastic,platic
needlework,needle_work
gloves,glovs
surrounded,surrondered
so-called,sol-called
economics,ecomonics
alienate,allienate
valuable,valuble
become,becom
used,unsed
exaggerate,agsagerate
locate,locat
necessarily,nessicarily
committed,committied
cooperation,coperation
definitely,deffinitely
joined,joned
increasing,imceasing
familiar,famiular
schedule,scheduald
second,seond
submit,submite
visited,vistied
temporarily,temporalry
somebody,sombody
inconvenience,inconveineince
criticism,criticisiom
never,neaver
indefinitely,imdefimitely
immensely,imnensly
mountainous,mountianus
young,youg
proportions,propotions
accelerate,acellerate
beautiful,beatuful
successful,sucessfull
guarantee,guarrante
jewelry,jewlery
lost,loost
sufficient,suffiecent
premium,premiun
cushion,cusion
general,generall
unanimous,unamanous
study,studdy
conscious,counscious
visited,viste
anniversary,anniversy
various,vareious
ceiling,cieling
judgement,judgmet
technical,attecnical
drift,dirft
epistle,espistol
basically,basicly
fraternally,fratenaly
temporarily,temporarialy
museum,meusem
dreams,dreasm
after,aftere
correspondence,corspondence
solemn,sollem
scrambled,srambled
temporarily,temoaraly
milieu,mileu
literally,literalily
special,speacal
enthusiasm,ethusiasam
house,hosre
chimney,chimny
mothers,mouthers
library,libary
miscellaneous,micellanous
ordinarily,oridinarly
pleasure,pleaseure
debit,debtit
permanent,perminant
principles,prinipals
apart,appart
geometry,geomertry
incorrigible,incorigible
fifth,fith
stick,stik
scheduled,scedule
sweetest,sweetes
square,squar
announcement,anouncement
nurse,nuse
ridiculous,ridiculois
answer,anser
occurrence,occurrance
sympathetic,sypthmetic
bankruptcy,bankrucy
special,speicail
successful,sussfull
realised,relized
folly,fooly
courteous,curteous
marriage,marraige
also,allso
instruments,istment
heard,haurd
today's,todays
conveniently,convenientely
column,coloumn
contented,contentie
galloped,gallped
acquires,adquires
valley,vallie
exception,ecception
permanently,premently
psychology,pschoyolgy
noisy,noise'y
druggies,drugies
unusually,unuasally
belief,belive
suspicion,supicsion
government,governemt
satisfaction,satfaction
courtesy,courteious
personnel,personell
actually,acttully
raincoat,raincot
outlawed,oulawed
contacts,contancts
biscuits,bissciuts
encourage,encourg
disabled,disabelled
policy,polocy
occasionally,ocasionly
postpone,postphone
slide,slied
confidential,confidental
faculty,facilty
understand,undstad
agreeable,agreable
injure,injur
memorize,memorise
statistics,stistics
thoroughly,througly
instruments,instrusments
review,revew
ill-behaved,illbehaved
tournament,tornamently
soliloquy,soliliquy
ceased,sceased
sorority,soroity
visited,fisitied
around,aroude
admire,addmire
harass,harrass
disappoint,dissappoint
hotel,hotle
unsuccessful,unsucesful
regained,regande
encourage,encorage
unfortunately,unfortunaly
undoubtedly,undoughtedly
originally,orginally
intelligent,inteligent
designed,desinded
poetry,poeatry
obedient,obedent
recollections,reclections
immediately,immeadiatly
cemetery,cemeatry
character,charachter
specific,sespecific
unusually,unsully
structure,stucture
necessarily,necessarially
complexion,complextion
mustn't,mustnt
philosopher,philisopher
achieve,acheive
possibility,posibility
annum,annuim
delinquent,delinquite
actually,actally
melancholy,melancoley
prior,prire
committees,comittees
philippines,phillippines
geometry,geomeotry
transferred,transufere
cases,casses
symmetrical,symettrical
caterpillar,catterpilar
running,runnung
already,all_ready
basketball,bascket-ball
concerning,cocerning
battery,batery
particular,paerticulaur
bathing,batheing
represent,repesent
amiable,ammeiable
galvanized,gavanize
exists,existists
guaranteed,guarrantee
want,whant
galloped,gallod
extraordinary,ex_traordinary
sincerely,sincerley
acquaintance,aquaintance
terrorist,territorist
judgement,jugdement
itemized,itemimized
appreciate,appreiciate
grandfather,grandfarther
opposite,oposite
temporarily,temperorarily
scream,screm
containing,containg
enthusiastic,enfusiastic
water,watter
galloped,galorped
carefully,carefuly
grateful,greateful
colourful,colourfull
exhausted,exhasted
progression,progresion
in_depth,indepth
signed,sighned
never,neve
sacrilege,sacralige
slipped,sliped
allotted,alloted
sufficiently,sufficently
accrued,acrued
various,vairous
usual,usueal
marketing,marketting
scrambled,scrambeld
guardian,gauadian
necessary,necesary
pushing,pusing
enthusiastic,enthusiasic
territory,teritory
coveted,coverted
economic,ecomnomic
beneficial,benficial
reckon,reacon
perceive,perceve
noisy,niosy
linguistics,libguistics
enquire,enquier
materially,matrially
prepared,prepaired
specimens,specicims
surrounded,surronded
itemized,intemised
receipts,reicpts
friends,freands
thousand,thousnand
either,eigther
decorations,decrotions
saucer,scauer
resting,resing
junior,juniour
continuous,continuious
declarations,declaratrions
children,cildren
criticism,critcism
awful,awlful
accommodation,accommidation
cheerful,cheerfull
arguing,aurgueing
impracticable,impractible
learnt,leart
probably,probly
esteemed,estemded
disappointment,dissappointment
pollute,polute
mutual,mutural
president's,predsidents
minimum,minimium
available,avaiable
poetry,poetrey
financial,financual
remembrance,rembrance
necessary,nessacary
contented,contente
terrestrial,terrestial
fascinating,fasignating
country,contry
correspondence,corresponce
dandy,dand
insistent,insistenet
receding,receeding
tackling,tackeling
otherwise,other_wise
mining,minning
watched,wached
conscientious,conciounetious
scraping,scapping
strenuous,strumious
rescinded,resinded
position,possition
invaluable,invalueable
eligible,eligble
restaurant,restrarunt
attaching,attachion
battle,battel
learn,learne
future,furture
preliminary,prelimianary
school,shoole
distinguish,distingish
reporter,reoporter
conform,coform
exhaustion,exhaustation
economic,ecconomic
remember,remebeer
technical,technincal
refreshment,refreshmet
requisition,recquisition
things,thigs
children,childen
feeble,feble
extraordinary,exterordinary
cabbage,cabbge
cents,cens
sympathetic,symphathic
includes,incueds
here,heere
guaranteed,garanteed
fraternally,fraternlly
pamphlet,pamphelet
parameters,paramers
minimum,minimun
discarded,discare
picturesque,pictureque
particularly,paticulary
encourage,encourge
sandpit,sand_pitt
altogether,atlogeher
especially,espeacily
leisure,lieshure
polarize,polarise
enthusiastic,emtheuastic
recently,recenly
strenuous,streinous
appropriate,apprraite
advertising,advertiseing
citizen,citisen
permanently,permentantly
enthusiasm,enthusasm
exists,excists
appetite,apepite
destination,destinastion
enthusiastic,inehusastic
okay,okaye
mass_media,massmedia
painstaking,paintaking
signal,singal
guarantee,garante
neglect,neglet
psychology,scychology
demographic,demographical
guaranteed,garantiee
originally,originually
exciting,excieting
dropped,droppted
asphalt,ashpalt
interested,intertes
previously,previouly
representatives,repesentatives
sink,sinck
anxious,anxsious
allophones,allopones
engine,enigne
losing,loseing
gorgeous,gorages
requested,requsted
weed,weede
farmer,famer
do_not,donot
increase,incress
expenditure,expenduture
anything,any_thing
recollect,recolect
approximately,approxmiately
nicknamed,nick-named
fundamental,fundametal
viewed,vewd
supplements,suplements
enthusiastic,enthousastic
courtesy,curtesey
your,youre
aeroplane,aroplaned
clapped,claped
tarmacked,tarmaced
phenomenon,phenomonenon
new_yorker,newyorker
recommendations,recomdation
competent,comentent
materially,matieraly
expenditure,expendure
lonely,lownly
baggage,bagage
taken,tacken
exceptionally,exceptionly
belong,blong
constitution,constituion
withhold,withold
can't,cann't
finish,finsh
inconvenience,inconence
affidavit,affidavidit
particular,preticular
inconvenience,inconveneince
melancholy,melancohly
successful,suxcessful
brimful,brim_full
particular,parituclar
field,fiesld
trying,tring
learnt,lernt
criticism,critisum
pretend,prtened
successive,sucessive
treated,treted
refrigerator,refigerator
foundries,foundaries
glowed,loed
occur,occure
gained,ganed
alumni,allumini
pretend,pretennd
originally,origonly
engineers,engieneers
foreign,forein
appropriate,approate
catalogues,catalue
frightened,frighatend
elbow-grease,elbowgrease
disappoint,dispoint
psychology,schycology
forgot,foregot
basketball,baskball
financially,finncually
criticism,criticisum
tracksuit,tracsute
hygiene,hygeine
position,posistion
appropriate,appricate
wonder,wond
philosophy,filosophy 
persistent,persistant
writing,writting
before,befoure
incomplete,incompleet
competition,competion
missile,misile
specimen,speciemen
ruining,ruinning
dissolved,disolved
signature,sinature
dangerous,dangierious
incidentally,incidentaly
practically,pratically
psychology,physcology
successful,succesful
recognition,reconisation
decreasing,decresing
receipt,recit
bicycle,bicycal
duly,dutly
alarm,alam
surprisingly,surprizingly
commando,comando
strengthened,strenghtened
speak,speack
families,familes
sympathetic,syptatheic
curtains,cutins
transferred,trasfered
establishing,establaision
adventure,aventure
chautauqua,cheautauqua
accommodations,accomodations
curtains,curtanse
conditions,conditones
agree,agre
exceedingly,excedingly
unanimous,unamimus
